Project Name,Size of fix,Fix duration,Category
aiqm/torchani,12,5,non-ml
aiqm/torchani,144,63,non-ml
aiqm/torchani,0,10,non-ml
aiqm/torchani,19,28,non-ml
aiqm/torchani,0,251,non-ml
DeepLabCut/DeepLabCut,19,35,non-ml
DeepLabCut/DeepLabCut,12,44,non-ml
marl/openl3,0,62,non-ml
HazyResearch/fonduer,2,0,non-ml
stared/livelossplot,0,1,non-ml
mozilla/bugbug,6,2,non-ml
brendanhasz/probflow,253,176,non-ml
brendanhasz/probflow,227,3,non-ml
brendanhasz/probflow,334,0,non-ml
brendanhasz/probflow,127,408,non-ml
brendanhasz/probflow,1278,2,non-ml
hackingmaterials/automatminer,46,8,non-ml
hackingmaterials/automatminer,156,4,non-ml
HunterMcGushion/hyperparameter_hunter,52,82,non-ml
HunterMcGushion/hyperparameter_hunter,407,20,non-ml
HunterMcGushion/hyperparameter_hunter,53,9,non-ml
qubvel/efficientnet,3,18,non-ml
qubvel/efficientnet,4,0,non-ml
qubvel/efficientnet,537,1,non-ml
netrack/keras-metrics,25,132,non-ml
netrack/keras-metrics,0,56,non-ml
NRCan/geo-deep-learning,103,0,non-ml
NRCan/geo-deep-learning,1312,336,non-ml
NRCan/geo-deep-learning,28,108,non-ml
NRCan/geo-deep-learning,0,0,non-ml
NRCan/geo-deep-learning,57,13,non-ml
NRCan/geo-deep-learning,4,6,non-ml
NRCan/geo-deep-learning,537,10,non-ml
NRCan/geo-deep-learning,21,0,non-ml
NRCan/geo-deep-learning,59,29,non-ml
NRCan/geo-deep-learning,494,34,non-ml
NRCan/geo-deep-learning,59,1,non-ml
NRCan/geo-deep-learning,117,16,non-ml
NRCan/geo-deep-learning,0,0,non-ml
NRCan/geo-deep-learning,537,466,non-ml
NRCan/geo-deep-learning,0,0,non-ml
justinshenk/fer,44,22,non-ml
onnx/onnxmltools,253,29,non-ml
onnx/onnxmltools,6,4,non-ml
onnx/onnxmltools,0,58,non-ml
onnx/onnxmltools,45,6,non-ml
ProGamerGov/neural-style-pt,0,12,non-ml
BindsNET/bindsnet,2,0,non-ml
BindsNET/bindsnet,30,1,non-ml
BindsNET/bindsnet,7,0,non-ml
blue-oil/blueoil,18,0,non-ml
blue-oil/blueoil,4,0,non-ml
blue-oil/blueoil,7,77,non-ml
blue-oil/blueoil,1713,2,non-ml
blue-oil/blueoil,3,6,non-ml
blue-oil/blueoil,0,150,non-ml
blue-oil/blueoil,1,2,non-ml
blue-oil/blueoil,14,38,non-ml
blue-oil/blueoil,0,7,non-ml
blue-oil/blueoil,0,13,non-ml
medipixel/rl_algorithms,13,3,non-ml
medipixel/rl_algorithms,1489,3,non-ml
medipixel/rl_algorithms,96,7,non-ml
medipixel/rl_algorithms,10,35,non-ml
medipixel/rl_algorithms,11,6,non-ml
medipixel/rl_algorithms,8,2,non-ml
ludwig-ai/ludwig,75,6,non-ml
ludwig-ai/ludwig,79,10,non-ml
ludwig-ai/ludwig,36,60,non-ml
ludwig-ai/ludwig,48,0,non-ml
