Size of fix,Category
12,non-ml
144,non-ml
4,non-ml
23,non-ml
10,non-ml
51,non-ml
24,non-ml
8,non-ml
4,non-ml
2,non-ml
16,non-ml
413,non-ml
309,non-ml
376,non-ml
141,non-ml
8888,non-ml
218,non-ml
2224,non-ml
136,non-ml
769,non-ml
75,non-ml
7,non-ml
114,non-ml
537,non-ml
29,non-ml
2,non-ml
201,non-ml
2914,non-ml
108,non-ml
38,non-ml
321,non-ml
76,non-ml
1251,non-ml
31,non-ml
655,non-ml
2378,non-ml
655,non-ml
135,non-ml
4,non-ml
1251,non-ml
4,non-ml
54,non-ml
367,non-ml
14,non-ml
6,non-ml
223,non-ml
4,non-ml
10,non-ml
1046,non-ml
149,non-ml
18,non-ml
6,non-ml
117,non-ml
1713,non-ml
29,non-ml
12,non-ml
69,non-ml
302,non-ml
34,non-ml
4,non-ml
37,non-ml
1587,non-ml
1698,non-ml
14,non-ml
67,non-ml
22,non-ml
103,non-ml
79,non-ml
158,non-ml
56,non-ml
4,non-ml
14,non-ml
39,non-ml
3,non-ml
163,non-ml
45,non-ml
194,non-ml
907,non-ml
268,non-ml
51,non-ml
31,non-ml
1554,non-ml
6,non-ml
84,non-ml
2,non-ml
8,non-ml
9,non-ml
1,non-ml
2,non-ml
164,non-ml
120,non-ml
90,non-ml
482,non-ml
27,non-ml
341,non-ml
2246,non-ml
5,non-ml
124,non-ml
2,non-ml
49,non-ml
17,non-ml
87,non-ml
227,non-ml
103,non-ml
412,non-ml
363,non-ml
287,non-ml
4,non-ml
186,non-ml
14,non-ml
101,non-ml
60,non-ml
145,non-ml
31,non-ml
8,non-ml
580,non-ml
81,non-ml
22,non-ml
15,non-ml
1524,non-ml
23767,non-ml
1009,non-ml
3439,non-ml
1106,non-ml
143,non-ml
136,non-ml
80,non-ml
6188,non-ml
96,non-ml
91,non-ml
341,non-ml
31,non-ml
219,non-ml
77,non-ml
57,non-ml
63,non-ml
35,non-ml
283,non-ml
408,non-ml
2,non-ml
4,non-ml
8,non-ml
35,non-ml
13,non-ml
11,non-ml
209,non-ml
142,non-ml
21,ml
813,ml
895,ml
143,ml
16,ml
21,ml
22,ml
22,ml
567,ml
3,ml
93,ml
1241,ml
5,ml
14,ml
4437,ml
727,ml
9126,ml
9126,ml
23,ml
1778,ml
413,ml
3,ml
3,ml
49,ml
5,ml
6,ml
573,ml
56,ml
945,ml
703,ml
40,ml
183,ml
4,ml
355,ml
6097,ml
145,ml
2,ml
179,ml
391,ml
23,ml
6097,ml
8,ml
23,ml
169,ml
46,ml
300,ml
48,ml
7,ml
32,ml
140,ml
4,ml
3,ml
2,ml
160,ml
135,ml
235,ml
2,ml
12,ml
8,ml
16,ml
150,ml
312,ml
303,ml
312,ml
42,ml
1587,ml
163,ml
10,ml
623,ml
1009,ml
591,ml
42,ml
23,ml
51,ml
40,ml
128,ml
9,ml
144,ml
87,ml
188,ml
42,ml
51,ml
596,ml
6,ml
28,ml
591,ml
9,ml
19,ml
15,ml
4,ml
631,ml
32,ml
2623,ml
23,ml
266,ml
398,ml
506,ml
30,ml
104,ml
32,ml
279,ml
22,ml
30,ml
825,ml
539,ml
325,ml
191,ml
32,ml
103,ml
168,ml
27,ml
31,ml
98,ml
406,ml
4,ml
474,ml
39,ml
83,ml
262,ml
484,ml
21,ml
103,ml
556,ml
133,ml
238,ml
54,ml
1877,ml
238,ml
328,ml
239,ml
147,ml
62,ml
27,ml
15,ml
563,ml
84,ml
19,ml
88,ml
54,ml
2595,ml
178,ml
16,ml
12,ml
74,ml
28,ml
376,ml
10,ml
