Project Name,Issue URL,issue number,Closed PR that mention,title
ildoonet/pytorch-gradual-warmup-lr,https://github.com/ildoonet/pytorch-gradual-warmup-lr/issues/1,1,2,"""""""why i got this error when the warmup epoches ends. """""""
developmentseed/label-maker,https://github.com/developmentseed/label-maker/issues/80,80,82,downloading using a COG and download endpoint results in tiles without an extension
Spenhouet/tensorboard-aggregator,https://github.com/Spenhouet/tensorboard-aggregator/issues/2,2,7,What if there are no subfolders test/train? 
beringresearch/ivis,https://github.com/beringresearch/ivis/issues/101,101,106,`NotFittedError` after caching and reloading fitted `Ivis` instance
aiqm/torchani,https://github.com/aiqm/torchani/issues/103,103,116,[PyTorch dev] Remove `AEVComputer. _combinations`
aiqm/torchani,https://github.com/aiqm/torchani/issues/251,251,255,Include linear fitting for EnergyShifter 
aiqm/torchani,https://github.com/aiqm/torchani/issues/20,20,21,use new dataloader API in examples
aiqm/torchani,https://github.com/aiqm/torchani/issues/343,343,352,Code improvement
aiqm/torchani,https://github.com/aiqm/torchani/issues/181,181,353,Support tensor.new_full and tensor.new_zeros in JIT and cleanup
aiqm/torchani,https://github.com/aiqm/torchani/issues/549,549,516 587,CUAEV cuda 11 error
aiqm/torchani,https://github.com/aiqm/torchani/issues/461,461,462,SpeciesConverter returns species on CPU
aiqm/torchani,https://github.com/aiqm/torchani/issues/498,498,550,Provide better error message when the dataset is empty
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,499,500,specify path to ANI2x parameter location
aiqm/torchani,https://github.com/aiqm/torchani/issues/335,335,341,CUDA support is broken
aiqm/torchani,https://github.com/aiqm/torchani/issues/17,17,21,Use ignite API to rewrite examples
aiqm/torchani,https://github.com/aiqm/torchani/issues/518,518,516,CUAEV Torchscript compatible
aiqm/torchani,https://github.com/aiqm/torchani/issues/522,522,516 565,CUAEV slower than pyaev as molecule size increase to 1000 atoms or more
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,113,171,python2 inference support
aiqm/torchani,https://github.com/aiqm/torchani/issues/514,514,515,Depracation: torch.norm is depracated
aiqm/torchani,https://github.com/aiqm/torchani/issues/305,305,306 307,Make the whole TorchANI exportable through TorchScript
aiqm/torchani,https://github.com/aiqm/torchani/issues/190,190,191,Change default dtype for ase interface to float64
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,485,488,Create a test for SAE calculations
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,112,224,Reduce dependency for inference only applications
aiqm/torchani,https://github.com/aiqm/torchani/issues/276,276,278,New update in PyTorch break forces
aiqm/torchani,https://github.com/aiqm/torchani/issues/598,598,602,The conversion of the ANI-2x model to TorchScript fails with PyTorch 1.9
aiqm/torchani,https://github.com/aiqm/torchani/issues/388,388,389,Documentation on units
aiqm/torchani,https://github.com/aiqm/torchani/issues/408,408,409,ASE forces incorrect shape for single-atom system
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,243,245 275 279 280 283,Make torchani's training setup identical to neurochem 
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,49,52,Add energy shifter as a Module and make it possible to pipeline with others
aiqm/torchani,https://github.com/aiqm/torchani/issues/595,595,597,CUAEV RuntimeError: CUDA error: an illegal memory access was encountered
aiqm/torchani,https://github.com/aiqm/torchani/issues/183,183,188,Fix the item support in JIT and clean up TorchANI code
aiqm/torchani,https://github.com/aiqm/torchani/issues/443,443,548,Split of dataset is not stored in the example training script
aiqm/torchani,https://github.com/aiqm/torchani/issues/140,140,152,Version tag
aiqm/torchani,https://github.com/aiqm/torchani/issues/199,199,338,Sum atomic energy in float64?
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,618,619,cuaev tests fail with pytorch nightly
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,511,512,Inference with unknown species
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,141,150,Switch to nightly ignite and clean up codes
aiqm/torchani,https://github.com/aiqm/torchani/issues/415,415,417,ASE calculator forces+stress simultaneously does not work
aiqm/torchani,https://github.com/aiqm/torchani/issues/23,23,26,Delete nn.py and create torchani.models to support rich types of models
aiqm/torchani,https://github.com/aiqm/torchani/issues/614,614,615,__floordiv__ is deprecated since PyTorch 1.9
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,182,357,Fix dtype of arange in JIT and remove dtype of arange from TorchANI
labmlai/labml,https://github.com/labmlai/labml/issues/14,14,15,Checkpointing optimizers
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1570,1570,1571,TypeError: analyze_videos() got an unexpected keyword argument 'video'
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1321,1321,1328,Keypoints_only cannot draw skeleton in create_labeled_video
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1593,1593,1690,plotting3D.py does not support Multimode
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1244,1244,1256,Problem when trying to analyze video after I re-trained the network
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,1792,1911,Sort videos during inference
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1696,1696,1699,UserGuide seems to have conflicting recommendations
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1290,1290,1297,IndexError in 2.2rc2 when identity: true
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2107,2107,2114,Manual extraction from previously analyzed videos broken
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1269,1269,1274,video_sets_orginal gets overwritten when cropping new videos while excluding already cropped videos
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1005,1005,1069,which Snapshot to pick in MultiAnimal project
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1300,1300,1314,create_training_model_comparison confused by training split 93%
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1818,1818,1819,ZeroDivisionError when analyze videos
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1583,1583,1597,Import issue with headless and GUI usage on the same machine
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2086,2086,2088,Model zoo google colab: full_human package huggingface URL has been change
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1901,1901,1924,extract_outlier_frames should not move videos
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1110,1110,1116,index error after saving labels and going to next frame
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1852,1852,1859,No CSV file created during deeplabcut.analyze_videos()
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1608,1608,1614,Deeplabcut evaluate network
