Name,Issue URL,Issue number,PR,Line Added,Line Deleted,Fix duration (days)
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,499,500,7,14,13
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,113,171,433,380,148
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,112,224,695,200,224
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,49,52,67,76,0
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,511,512,15,1,0
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,1792,1911,16,5,88
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,1981,1982,11,11,1
marl/openl3,https://github.com/marl/openl3/issues/73,73,75,20,2,1
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,56,64,278,289,28
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,75,77,1,2,39
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,18,449,93,0,163
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,21,39,1205,36,169
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,10,53,5,0,413
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,28,29,13,1,27
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,18,31,4277,160,166
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,19,46,718,9,171
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,241,246,8460,666,6
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,239,246,8460,666,6
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,88,89,18,5,4
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,111,118,1588,190,51
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,34,91,317,96,128
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,135,130,2,1,421
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,60,130,2,1,1008
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,51,52,26,23,2
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,3,4,5,0,2
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,22,23,3,3,23
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,292,294,314,259,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,57,64,36,20,14
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,6,30,795,150,77
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,293,295,187,516,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,84,89,19,21,27
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/305,305,308,34,149,5
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/333,333,334,3,1,49
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/260,260,263,120,235,4
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/189,189,208,3102,2995,290
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/222,222,335,35,110,266
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/370,370,373,1,1,0
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/183,183,298,142,37,396
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/249,249,259,213,178,10
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/264,264,266,9,14,5
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/157,157,208,3102,2995,486
justinshenk/fer,https://github.com/justinshenk/fer/issues/7,7,8,4,4,182
Acellera/moleculekit,https://github.com/Acellera/moleculekit/issues/4,4,15,295,4,70
codertimo/BERT-pytorch,https://github.com/codertimo/BERT-pytorch/issues/10,10,14,137,48,3
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/37,37,38,16,7,4
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/66,66,74,139,30,5
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/124,124,126,42,4,15
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/50,50,70,296,4,8
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/43,43,84,36,12,10
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/362,362,364,5,2,4
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/351,351,354,20,12,10
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/224,224,225,118,22,19
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/904,904,978,2,2,38
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/362,362,364,1,2,480
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/909,909,957,0,2,36
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/138,138,28,139,21,7
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/484,484,1072,69,66,302
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/884,884,882,116,119,1
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/687,687,689,1,1,2
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/805,805,807,6,6,6
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/711,711,719,8,0,8
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/249,249,886,9,7,319
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/123,123,124,5,145,3
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/261,261,272,152,160,60
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/129,129,140,161,142,5
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/243,243,272,152,160,90
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/242,242,279,28,14,99
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/245,245,246,1538,49,4
namisan/mt-dnn,https://github.com/namisan/mt-dnn/issues/152,152,153,64,54,1
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1403,1403,1410,123,40,4
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1911,1911,1912,7,3,0
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/2243,2243,2445,281,342,6
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/1262,1262,1269,788,221,58
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig/issues/484,484,1174,500,91,651
