Name,URL,Created_at,Star,Last commit
Seanny123/da-rnn,https://github.com/Seanny123/da-rnn,2018-09-27T19:38:58Z,303,2021-03-18T19:49:06Z
nikitakit/self-attentive-parser,https://github.com/nikitakit/self-attentive-parser,2018-04-27T07:49:32Z,754,2022-01-10T15:48:34Z
mks0601/PoseFix_RELEASE,https://github.com/mks0601/PoseFix_RELEASE,2019-03-10T12:28:04Z,324,2022-07-01T03:19:39Z
kamenbliznashki/normalizing_flows,https://github.com/kamenbliznashki/normalizing_flows,2018-12-30T08:50:07Z,535,2021-07-12T12:40:38Z
Drakkar-Software/OctoBot,https://github.com/Drakkar-Software/OctoBot,2018-02-23T23:13:05Z,1890,2023-01-04T16:34:05Z
lonePatient/Bert-Multi-Label-Text-Classification,https://github.com/lonePatient/Bert-Multi-Label-Text-Classification,2019-02-10T15:19:42Z,736,2022-12-08T06:35:57Z
devAmoghS/Machine-Learning-with-Python,https://github.com/devAmoghS/Machine-Learning-with-Python,2018-03-02T14:54:11Z,1130,2022-12-27T15:34:36Z
snuspl/parallax,https://github.com/snuspl/parallax,2018-07-25T10:01:57Z,129,2022-02-21T08:12:50Z
spcl/ncc,https://github.com/spcl/ncc,2018-06-21T08:20:41Z,173,2022-09-23T22:22:11Z
aws-samples/deep-learning-models,https://github.com/aws-samples/deep-learning-models,2018-07-19T19:07:10Z,132,2023-01-05T20:31:23Z
nubank/fklearn,https://github.com/nubank/fklearn,2019-02-27T14:32:57Z,1418,2022-12-23T14:04:17Z
hendrycks/robustness,https://github.com/hendrycks/robustness,2018-04-06T03:50:57Z,778,2022-08-24T14:27:43Z
textpipe/textpipe,https://github.com/textpipe/textpipe,2018-06-21T16:23:32Z,298,2021-06-09T11:55:53Z
Farama-Foundation/Miniworld,https://github.com/Farama-Foundation/Miniworld,2018-08-28T03:12:59Z,547,2023-01-02T16:20:23Z
IBM/MAX-Object-Detector,https://github.com/IBM/MAX-Object-Detector,2018-03-09T23:29:27Z,286,2022-11-22T08:48:58Z
orendv/learning_to_sample,https://github.com/orendv/learning_to_sample,2018-12-04T16:35:43Z,154,2022-11-29T17:12:07Z
huggingface/transfer-learning-conv-ai,https://github.com/huggingface/transfer-learning-conv-ai,2019-05-07T12:51:08Z,1517,2022-11-01T04:12:24Z
