Project Name, Issue URL, Issue number, Closed PR that mention, Category,Labeled PR
aiqm/torchani,https://github.com/aiqm/torchani/issues/485,485,488,non-ml,488
aiqm/torchani,https://github.com/aiqm/torchani/issues/243,243,245 275 279 280 283,non-ml,279
aiqm/torchani,https://github.com/aiqm/torchani/issues/618,618,619,non-ml,619
aiqm/torchani,https://github.com/aiqm/torchani/issues/141,141,150,non-ml,150
aiqm/torchani,https://github.com/aiqm/torchani/issues/182,182,357,non-ml,357
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/2011,2011,2020,non-ml,2020
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1006,1006,1059,non-ml,1059
marl/openl3,https://github.com/marl/openl3/issues/85,85,86,non-ml,86
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/306,306,307,non-ml,307
stared/livelossplot,https://github.com/stared/livelossplot/issues/7,7,8,non-ml,8
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/835,835,847,non-ml,847
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/20,20,54,non-ml,54
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/34,34,37,non-ml,37
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/38,38,41,non-ml,41
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/9,9,40,non-ml,40
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/35,35,36,non-ml,36
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/82,82,90,non-ml,90
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/253,253,254 255,non-ml,255
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/102,102,121,non-ml,121
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/69,69,76,non-ml,76
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/90,90,95,non-ml,95
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/127,127,128,non-ml,128
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/55,55,56,non-ml,56
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/39,39,42,non-ml,42
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/13,13,25,non-ml,25
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/14,14,15,non-ml,15
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/251,251,253,non-ml,253
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/98,98,112,non-ml,112
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/77,77,95,non-ml,95
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/420,420,421,non-ml,421
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/362,362,364,non-ml,364
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/231,231,232,non-ml,232
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/99,99,100,non-ml,100
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/411,411,414 413,non-ml,414
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/86,86,91,non-ml,91
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/127,127,133,non-ml,133
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/90,90,91,non-ml,91
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/311,311,315,non-ml,315
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/422,422,424,non-ml,424
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/81,81,100,non-ml,100
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/423,423,424,non-ml,424
justinshenk/fer,https://github.com/justinshenk/fer/issues/24,24,25,non-ml,25
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/482,482,491,non-ml,491
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/495,495,497,non-ml,497
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/540,540,555,non-ml,555
onnx/onnxmltools,https://github.com/onnx/onnxmltools/issues/551,551,552,non-ml,552
ProGamerGov/neural-style-pt,https://github.com/ProGamerGov/neural-style-pt/issues/64,64,65,non-ml,65
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/565,565,566,non-ml,566
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/212,212,213,non-ml,213
BindsNET/bindsnet,https://github.com/BindsNET/bindsnet/issues/140,140,141,non-ml,141
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/197,197,198,non-ml,198
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/267,267,268,non-ml,268
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/712,712,724,non-ml,724
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/529,529,541,non-ml,541
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/260,260,261,non-ml,261
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1201,1201,1235,non-ml,1235
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1173,1173,1177,non-ml,1177
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/491,491,495 513,non-ml,513
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1226,1226,1228,non-ml,1228
blue-oil/blueoil,https://github.com/blue-oil/blueoil/issues/1158,1158,1159,non-ml,1159
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/251,251,252 250,non-ml,252
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/247,247,246,non-ml,246
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/230,230,234,non-ml,234
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/263,263,280,non-ml,280
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/255,255,257,non-ml,257
medipixel/rl_algorithms,https://github.com/medipixel/rl_algorithms/issues/254,254,256,non-ml,256
