Project Name,Issue URL,issue number,pr that mention,title
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection/issues/26,26,27 ,Support of `max_features` param in `StabilitySelection` class
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection/issues/33,33,34 ,joblib no longer included in scikit-learn
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection/issues/3,3,6 ,Add randomized LASSO as an estimator
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection/issues/4,4,6 ,StabilitySelection does not work if base_estimator is not a Pipeline
scikit-learn-contrib/stability-selection,https://github.com/scikit-learn-contrib/stability-selection/issues/5,5,6 ,Rescale lambda range to lambda / max(lamdba) in plot_stability_path
theislab/diffxpy,https://github.com/theislab/diffxpy/issues/212,212,218 ,TypeError: full_like() got an unexpected keyword argument 'shape' when running de.test.wald()
theislab/diffxpy,https://github.com/theislab/diffxpy/issues/54,54,47 ,nan losses during training on real data
theislab/diffxpy,https://github.com/theislab/diffxpy/issues/194,194,200 ,All arrays must be instances of SparseArray
theislab/diffxpy,https://github.com/theislab/diffxpy/issues/205,205,210 ,Possible to set reference condition for two_sample tests?
uber-research/deep-neuroevolution,https://github.com/uber-research/deep-neuroevolution/issues/21,21,22 ,proposed fix for nan error in vine
allenai/scispacy,https://github.com/allenai/scispacy/issues/292,292,293 ,Error while running test_data_util.py
allenai/scispacy,https://github.com/allenai/scispacy/issues/338,338,368 ,Span is not serializable in abbreviations - figure out a better workaround
allenai/scispacy,https://github.com/allenai/scispacy/issues/251,251,254 ,`en_ner_bionlp13cg_md` Label names are wrong?
allenai/scispacy,https://github.com/allenai/scispacy/issues/158,158,159 ,Abbreviations confused by (citation)s
allenai/scispacy,https://github.com/allenai/scispacy/issues/303,303,295 ,Support spaCy 3.0
allenai/scispacy,https://github.com/allenai/scispacy/issues/339,339,341 ,Potential IndexError in hyponym_detector.py
allenai/scispacy,https://github.com/allenai/scispacy/issues/285,285,287 ,RAM Requirements
allenai/scispacy,https://github.com/allenai/scispacy/issues/324,324,325 ,MeSH linker returns UMLS concepts
allenai/scispacy,https://github.com/allenai/scispacy/issues/144,144,145 ,`Found array with 0 sample(s)`
allenai/scispacy,https://github.com/allenai/scispacy/issues/31,31,51 ,explicitly list dependencies in setup.py
allenai/scispacy,https://github.com/allenai/scispacy/issues/151,151,153 ,Override definition filtering for exact match
allenai/scispacy,https://github.com/allenai/scispacy/issues/192,192,201 ,Acronyms: short form (long form)
