Project Name,Issue URL,PR URL,Line Change,Fix duration (days),Category,ML category
aiqm/torchani,https://github.com/aiqm/torchani/issues/499,https://github.com/aiqm/torchani/pull/500,7,13,ml,2
aiqm/torchani,https://github.com/aiqm/torchani/issues/113,https://github.com/aiqm/torchani/pull/171,53,148,ml,3
aiqm/torchani,https://github.com/aiqm/torchani/issues/112,https://github.com/aiqm/torchani/pull/224,495,224,ml,4
aiqm/torchani,https://github.com/aiqm/torchani/issues/49,https://github.com/aiqm/torchani/pull/52,9,0,ml,6
aiqm/torchani,https://github.com/aiqm/torchani/issues/511,https://github.com/aiqm/torchani/pull/512,14,0,ml,3
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1792,https://github.com/DeepLabCut/DeepLabCut/pull/1911,11,88,ml,3
DeepLabCut/DeepLabCut,https://github.com/DeepLabCut/DeepLabCut/issues/1981,https://github.com/DeepLabCut/DeepLabCut/pull/1982,0,1,ml,5
marl/openl3,https://github.com/marl/openl3/issues/73,https://github.com/marl/openl3/pull/75,18,1,ml,5
HazyResearch/fonduer,https://github.com/HazyResearch/fonduer/issues/56,https://github.com/HazyResearch/fonduer/pull/64,11,28,ml,6
stared/livelossplot,https://github.com/stared/livelossplot/issues/75,https://github.com/stared/livelossplot/pull/77,1,39,ml,5
mozilla/bugbug,https://github.com/mozilla/bugbug/issues/18,https://github.com/mozilla/bugbug/pull/449,93,163,ml,2
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/21,https://github.com/brendanhasz/probflow/pull/39,1169,169,ml,4
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/10,https://github.com/brendanhasz/probflow/pull/53,5,413,ml,4
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/28,https://github.com/brendanhasz/probflow/pull/29,12,27,ml,5
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/18,https://github.com/brendanhasz/probflow/pull/31,4117,166,ml,2
brendanhasz/probflow,https://github.com/brendanhasz/probflow/issues/19,https://github.com/brendanhasz/probflow/pull/46,709,171,ml,2
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/241,https://github.com/hackingmaterials/automatminer/pull/246,7794,6,ml,4
hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer/issues/239,https://github.com/hackingmaterials/automatminer/pull/246,7794,6,ml,4
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/88,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/89,13,4,ml,4
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/111,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/118,1398,51,ml,4
HunterMcGushion/hyperparameter_hunter,https://github.com/HunterMcGushion/hyperparameter_hunter/issues/34,https://github.com/HunterMcGushion/hyperparameter_hunter/pull/91,221,128,ml,4
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/135,https://github.com/qubvel/efficientnet/pull/130,1,421,ml,4
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/60,https://github.com/qubvel/efficientnet/pull/130,1,1008,ml,2
qubvel/efficientnet,https://github.com/qubvel/efficientnet/issues/51,https://github.com/qubvel/efficientnet/pull/52,3,2,ml,2
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/3,https://github.com/netrack/keras-metrics/pull/4,5,2,ml,3
netrack/keras-metrics,https://github.com/netrack/keras-metrics/issues/22,https://github.com/netrack/keras-metrics/pull/23,0,23,ml,4
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/292,https://github.com/NRCan/geo-deep-learning/pull/294,55,0,ml,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/57,https://github.com/NRCan/geo-deep-learning/pull/64,16,14,ml,4
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/6,https://github.com/NRCan/geo-deep-learning/pull/30,645,77,ml,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/293,https://github.com/NRCan/geo-deep-learning/pull/295,329,2,ml,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/84,https://github.com/NRCan/geo-deep-learning/pull/89,2,27,ml,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/305,https://github.com/NRCan/geo-deep-learning/pull/308,115,5,ml,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/333,https://github.com/NRCan/geo-deep-learning/pull/334,2,49,ml,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/260,https://github.com/NRCan/geo-deep-learning/pull/263,115,4,ml,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/189,https://github.com/NRCan/geo-deep-learning/pull/208,107,290,ml,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/222,https://github.com/NRCan/geo-deep-learning/pull/335,75,266,ml,3
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/370,https://github.com/NRCan/geo-deep-learning/pull/373,0,0,ml,3
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/183,https://github.com/NRCan/geo-deep-learning/pull/298,105,396,ml,2
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/249,https://github.com/NRCan/geo-deep-learning/pull/259,35,10,ml,6
NRCan/geo-deep-learning,https://github.com/NRCan/geo-deep-learning/issues/264,https://github.com/NRCan/geo-deep-learning/pull/266,5,5,ml,4
